 SIMULATION RESULTS OBTAINED : 
 time=                   0 , clock=0 , reset=1 , req_floor=x , emergency=0 , IR_sensor=0 , overweight = 0 , up=x , down=x, idle=x , door=x , Emergency_stop=x , current_floor=x , min_request=x , max_request=x , requests=xx 
 time=              290000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=5 , requests=20 
 time=              295000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=2 , min_request=1 , max_request=5 , requests=20 
 time=              300000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=2 , min_request=1 , max_request=5 , requests=20 
 time=              305000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=3 , min_request=1 , max_request=5 , requests=20 
 time=              310000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=3 , min_request=1 , max_request=5 , requests=20 
 time=              315000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=4 , min_request=1 , max_request=5 , requests=20 
 time=              320000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=0 , door=0 , Emergency_stop=0 , current_floor=4 , min_request=1 , max_request=5 , requests=20 
 time=              325000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              327000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=1 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              330000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=1 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              335000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=1 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              340000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=1 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              345000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=1 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              350000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=1 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              355000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=1 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              357000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              360000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=1 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              365000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              370000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              375000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              380000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              385000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              390000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              395000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              400000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              405000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              410000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              415000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              420000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              425000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              430000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              435000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              440000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              445000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              450000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              455000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              460000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              465000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              470000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              475000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              480000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              485000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              490000 , clock=0 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
 time=              495000 , clock=1 , reset=0 , req_floor=5 , emergency=0 , IR_sensor=0 , overweight = 0 , up=1 , down=0, idle=1 , door=0 , Emergency_stop=0 , current_floor=5 , min_request=1 , max_request=5 , requests=00 
SIMULATION COMPLETED ! 
