SIMULATION RESULTS OBTAINED : 
 time=                   0 , clock=0 , reset=1 , req_floor=x , emergency=0 , IR_sensor=0 , overweight = 0 , up=x , down=x, idle=x , door=x , Emergency_stop=x , current_floor=x , min_request=x , max_request=x , requests=xx 
 time=              180000 , clock=0 , reset=0 , req_floor=4 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=4 , min_request=1 , max_request=7 , requests=0a 
 time=              185000 , clock=1 , reset=0 , req_floor=4 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=4 , min_request=1 , max_request=7 , requests=0a 
 time=              190000 , clock=0 , reset=0 , req_floor=4 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=4 , min_request=1 , max_request=7 , requests=0a 
 time=              195000 , clock=1 , reset=0 , req_floor=4 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=3 , min_request=1 , max_request=7 , requests=02 
 time=              200000 , clock=0 , reset=0 , req_floor=4 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=3 , min_request=1 , max_request=7 , requests=02 
 time=              205000 , clock=1 , reset=0 , req_floor=4 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=3 , min_request=1 , max_request=7 , requests=02 
 time=              209000 , clock=1 , reset=0 , req_floor=6 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=3 , min_request=1 , max_request=6 , requests=42 
 time=              210000 , clock=0 , reset=0 , req_floor=6 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=3 , min_request=1 , max_request=6 , requests=42 
 time=              215000 , clock=1 , reset=0 , req_floor=6 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=2 , min_request=1 , max_request=6 , requests=42 
 time=              220000 , clock=0 , reset=0 , req_floor=6 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=0 , door=0 , Emergency_stop=0 , current_floor=2 , min_request=1 , max_request=6 , requests=42 
 time=              225000 , clock=1 , reset=0 , req_floor=6 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=6 , requests=40 
 time=              230000 , clock=0 , reset=0 , req_floor=6 , emergency=0 , IR_sensor=0 , overweight = 0 , up=0 , down=1, idle=1 , door=1 , Emergency_stop=0 , current_floor=1 , min_request=1 , max_request=6 , requests=40 
